token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR009	0	allora	allora	linguistic	_	Begin=1.393|End=2.0	_	_	_	_
1-0	TOR009	1	il	il	linguistic	_	Begin=2.803	_	_	_	_
1-1	TOR009	1	signor?	signor	linguistic	Intonation=Rising	End=3.606	_	_	_	_
2-0	TOI070	2	arancioni	arancioni	linguistic	_	Begin=3.811	_	_	_	_
2-1	TOI070	2	francesco	francesco	linguistic	_	End=5.015	_	_	_	_
3-0	TOR009	3	bene	bene	linguistic	_	Begin=5.11	_	_	_	_
3-1	TOR009	3	grazie	grazie	linguistic	_	_	_	_	_	_
3-2	TOR009	3	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
3-3	TOR009	3	lei	lei	linguistic	_	_	_	_	_	_
3-4	TOR009	3	quanti	quanti	linguistic	_	_	_	_	_	_
3-5	TOR009	3	anni	anni	linguistic	_	_	_	_	_	_
3-6	TOR009	3	ha?	ha	linguistic	Intonation=Rising	End=6.811	_	_	_	_
4-0	TOI070	4	s:ett:anta	settanta	linguistic	_	Begin=8.385	0x1,3x1	_	_	_
4-1	TOI070	4	e	e	linguistic	_	_	_	_	_	_
4-2	TOI070	4	mezzo	mezzo	linguistic	_	_	_	_	_	_
4-3	TOI070	4	settentuno	settentuno	linguistic	_	End=11.094	_	_	_	_
5-0	TOR009	5	ha	ha	linguistic	_	Begin=12.11	_	_	_	_
5-1	TOR009	5	sempre	sempre	linguistic	_	_	_	_	_	_
5-2	TOR009	5	vissuto	vissuto	linguistic	_	_	_	_	_	_
5-3	TOR009	5	a	a	linguistic	_	_	_	_	_	_
5-4	TOR009	5	torino?	torino	linguistic	Intonation=Rising	_	_	_	_	_
5-5	TOR009	5	é	é	linguistic	_	_	_	_	_	_
5-6	TOR009	5	di	di	linguistic	_	_	_	_	_	_
5-7	TOR009	5	torino	torino	linguistic	_	_	_	_	_	_
5-8	TOR009	5	lei?	lei	linguistic	Intonation=Rising	End=14.204	_	_	_	_
6-0	TOI070	6	sì	sì	linguistic	_	Begin=14.598	_	_	_	_
6-1	TOI070	6	sono	sono	linguistic	_	_	_	_	_	_
6-2	TOI070	6	di	di	linguistic	_	_	_	_	_	_
6-3	TOI070	6	torino	torino	linguistic	_	_	_	_	_	_
6-4	TOI070	6	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
6-5	TOI070	6	sono	sono	linguistic	_	_	_	_	_	_
6-6	TOI070	6	nato	nato	linguistic	_	_	_	_	_	_
6-7	TOI070	6	in	in	linguistic	_	_	_	_	_	_
6-8	TOI070	6	corso	corso	linguistic	_	_	_	_	_	_
6-9	TOI070	6	spezia	spezia	linguistic	_	_	_	_	_	_
6-10	TOI070	6	venti	venti	linguistic	_	_	_	_	_	_
6-11	TOI070	6	quindi::	quindi	linguistic	_	End=19.007	5x2	_	_	_
7-0	TOR009	7	direi	direi	linguistic	_	Begin=19.811	_	_	_	_
7-1	TOR009	7	é	é	linguistic	_	_	_	_	_	_
7-2	TOR009	7	proprio	proprio	linguistic	_	_	_	_	_	_
7-3	TOR009	7	[di	di	linguistic	_	_	_	_	_	0-2(0)
7-4	TOR009	7	qui]	qui	linguistic	_	End=20.897	_	_	_	0-3(0)
8-0	TOI070	8	[é	é	linguistic	_	Begin=20.401	_	_	_	0-1(?)
8-1	TOI070	8	una	una	linguistic	_	_	_	_	_	0-3(?)
8-2	TOI070	8	mate]rnità:::	maternità	linguistic	_	_	8x3	_	_	0-4(?)
8-3	TOI070	8	((ride))	((ride))	nonverbalbehavior	_	End=22.724	_	_	_	_
9-0	TOR009	9	é	é	linguistic	_	Begin=22.401	_	_	_	_
9-1	TOR009	9	di	di	linguistic	_	_	_	_	_	_
9-2	TOR009	9	torino.	torino	linguistic	Intonation=Falling	_	_	_	_	_
9-3	TOR009	9	anche	anche	linguistic	_	_	_	_	_	_
9-4	TOR009	9	i	i	linguistic	_	_	_	_	_	_
9-5	TOR009	9	suoi	suoi	linguistic	_	_	_	_	_	_
9-6	TOR009	9	genitori	genitori	linguistic	_	_	_	_	_	_
9-7	TOR009	9	so:no	sono	linguistic	_	_	1x1	_	_	_
9-8	TOR009	9	di	di	linguistic	_	_	_	_	_	_
9-9	TOR009	9	torino?	torino	linguistic	Intonation=Rising	End=24.795	_	_	_	_
10-0	TOI070	10	sì	sì	linguistic	_	Begin=25.0	_	_	_	_
10-1	TOI070	10	i	i	linguistic	_	_	_	_	_	_
10-2	TOI070	10	miei	miei	linguistic	_	_	_	_	_	_
10-3	TOI070	10	genitori	genitori	linguistic	_	_	_	_	_	_
10-4	TOI070	10	sì	sì	linguistic	_	End=26.409	_	_	_	_
11-0	TOR009	11	ho	ho	linguistic	_	Begin=26.496	_	_	_	_
11-1	TOR009	11	capito	capito	linguistic	_	_	_	_	_	_
11-2	TOR009	11	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
11-3	TOR009	11	e::	e	linguistic	_	_	0x2	_	_	_
11-4	TOR009	11	dove	dove	linguistic	_	_	_	_	_	_
11-5	TOR009	11	ha	ha	linguistic	_	_	_	_	_	_
11-6	TOR009	11	abitato:	abitato	linguistic	_	_	6x1	_	_	_
11-7	TOR009	11	durante	durante	linguistic	_	_	_	_	_	_
11-8	TOR009	11	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
11-9	TOR009	11	infanzia?	infanzia	linguistic	Intonation=Rising	End=30.118	_	_	_	_
12-0	TOI070	12	mah	mah	linguistic	_	Begin=30.401	_	_	_	_
12-1	TOI070	12	durante	durante	linguistic	_	_	_	_	_	_
12-2	TOI070	12	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
12-3	TOI070	12	infanzia	infanzia	linguistic	_	_	_	_	_	_
12-4	TOI070	12	abitavo	abitavo	linguistic	_	_	_	_	_	_
12-5	TOI070	12	prima	prima	linguistic	_	_	_	_	_	_
12-6	TOI070	12	in	in	linguistic	_	_	_	_	_	_
12-7	TOI070	12	barriera	barriera	linguistic	_	_	_	_	_	_
12-8	TOI070	12	di	di	linguistic	_	_	_	_	_	_
12-9	TOI070	12	milano	milano	linguistic	_	End=33.614	_	_	_	_
13-0	TOI070	13	e:	e	linguistic	_	Begin=35.102	0x1	_	_	_
13-1	TOI070	13	successivamente:::	successivamente	linguistic	_	_	14x3	_	_	_
13-2	TOI070	13	i::n	in	linguistic	_	_	0x2	_	_	_
13-3	TOI070	13	zona	zona	linguistic	_	_	_	_	_	_
13-4	TOI070	13	san	san	linguistic	_	_	_	_	_	_
13-5	TOI070	13	salvario	salvario	linguistic	_	End=39.11	_	_	_	_
14-0	TOR009	14	mh	mh	linguistic	_	Begin=39.307|End=39.622	_	_	_	_
15-0	TOI070	15	e	e	linguistic	_	Begin=40.496	_	_	_	_
15-1	TOI070	15	quando	quando	linguistic	_	_	_	_	_	_
15-2	TOI070	15	ci	ci	linguistic	_	_	_	_	_	_
15-3	TOI070	15	siam	siam	linguistic	_	_	_	_	_	_
15-4	TOI070	15	sposati	sposati	linguistic	_	_	_	_	_	_
15-5	TOI070	15	siamo	siamo	linguistic	_	_	_	_	_	_
15-6	TOI070	15	andati	andati	linguistic	_	_	_	_	_	_
15-7	TOI070	15	abitare:::	abitare	linguistic	_	_	6x3	_	_	_
15-8	TOI070	15	vicino	vicino	linguistic	_	_	_	_	_	_
15-9	TOI070	15	al::::	al	linguistic	_	_	1x4	_	_	_
15-10	TOI070	15	lo	lo	linguistic	_	_	_	_	_	_
15-11	TOI070	15	stadio	stadio	linguistic	_	_	_	_	_	_
