token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR006	0	iniziamo	iniziamo	linguistic	_	Begin=1.01	_	_	_	_
0-1	BOR006	0	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
0-2	BOR006	0	intervista	intervista	linguistic	_	End=2.16	_	_	_	_
1-0	BOR006	1	eh	eh	linguistic	_	Begin=3.268	_	_	_	_
1-1	BOR006	1	l~	l~	linguistic	Interrupted=Yes	_	_	_	_	_
1-2	BOR006	1	la	la	linguistic	_	_	_	_	_	_
1-3	BOR006	1	prime:	prime	linguistic	_	_	4x1	_	_	_
1-4	BOR006	1	le	le	linguistic	_	_	_	_	_	_
1-5	BOR006	1	prime	prime	linguistic	_	_	_	_	_	_
1-6	BOR006	1	domande	domande	linguistic	_	_	_	_	_	_
1-7	BOR006	1	che	che	linguistic	_	_	_	_	_	_
1-8	BOR006	1	volevo	volevo	linguistic	_	_	_	_	_	_
1-9	BOR006	1	farvi	farvi	linguistic	_	_	_	_	_	_
1-10	BOR006	1	riguardano	riguardano	linguistic	_	_	_	_	_	_
1-11	BOR006	1	appunto	appunto	linguistic	_	_	_	_	_	_
1-12	BOR006	1	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
1-13	BOR006	1	eh	eh	linguistic	_	_	_	_	_	_
1-14	BOR006	1	la	la	linguistic	_	_	_	_	_	_
1-15	BOR006	1	città	città	linguistic	_	_	_	_	_	_
1-16	BOR006	1	di	di	linguistic	_	_	_	_	_	_
1-17	BOR006	1	bologna	bologna	linguistic	_	End=8.85	_	_	_	_
2-0	BOR006	2	e:	e	linguistic	_	Begin=9.3	0x1	_	_	_
2-1	BOR006	2	i	i	linguistic	_	_	_	_	_	_
2-2	BOR006	2	suoi	suoi	linguistic	_	_	_	_	_	_
2-3	BOR006	2	quartieri	quartieri	linguistic	_	End=10.731	_	_	_	_
3-0	BOR006	3	ad	ad	linguistic	_	Begin=11.704	_	_	_	_
3-1	BOR006	3	esempio	esempio	linguistic	_	_	_	_	_	_
3-2	BOR006	3	mi	mi	linguistic	_	End=12.282	_	_	_	_
4-0	BOR006	4	e:h	eh	linguistic	_	Begin=12.958	0x1	_	_	_
4-1	BOR006	4	mi	mi	linguistic	_	_	_	_	_	_
4-2	BOR006	4	interessava	interessava	linguistic	_	_	_	_	_	_
4-3	BOR006	4	sapere	sapere	linguistic	_	End=14.79	_	_	_	_
5-0	BOR006	5	(arrivo)	arrivo	linguistic	_	Begin=16.999|End=17.333	_	_	0-6(0)	_
6-0	BOR006	6	e:h	eh	linguistic	_	Begin=20.341	0x1	_	_	_
6-1	BOR006	6	da	da	linguistic	_	_	_	_	_	_
6-2	BOR006	6	quanto	quanto	linguistic	_	_	_	_	_	_
6-3	BOR006	6	vivete	vivete	linguistic	_	_	_	_	_	_
6-4	BOR006	6	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
6-5	BOR006	6	se	se	linguistic	_	_	_	_	_	_
6-6	BOR006	6	vivete	vivete	linguistic	_	_	_	_	_	_
6-7	BOR006	6	nel	nel	linguistic	_	_	_	_	_	_
6-8	BOR006	6	quartiere	quartiere	linguistic	_	_	_	_	_	_
